
Epoch: 000, Train Loss: 1.5470
100%|██████████| 535/535 [00:07<00:00, 70.01it/s]
Epoch: 091, Train Loss: 1.4026
Epoch: 092, Train Loss: 1.4022
Epoch: 093, Train Loss: 1.4019
Epoch: 094, Train Loss: 1.4015
Epoch: 095, Train Loss: 1.4010
Epoch: 096, Train Loss: 1.4007
Traceback (most recent call last):
  File "/tmp/ipykernel_95774/1257167414.py", line 11, in main
    loss = train_model(model, optimizer, train_loader)
  File "/tmp/ipykernel_95774/2171287164.py", line 32, in train_model
    loss.backward()
  File "/home/blaineh2/anaconda3/envs/ScoreMatchingDiffKG/lib/python3.9/site-packages/torch/_tensor.py", line 522, in backward
    torch.autograd.backward(
  File "/home/blaineh2/anaconda3/envs/ScoreMatchingDiffKG/lib/python3.9/site-packages/torch/autograd/__init__.py", line 266, in backward
    Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  File "/home/blaineh2/anaconda3/envs/ScoreMatchingDiffKG/lib/python3.9/site-packages/wandb/wandb_torch.py", line 272, in <lambda>
    handle = var.register_hook(lambda grad: _callback(grad, log_track))
KeyboardInterrupt
